id_comanda,fecha,pagado,num_mesa
1,2023-07-02,False,1
2,2024-02-19,False,2
3,2023-10-26,True,3
4,2023-05-09,False,4
5,2023-10-04,True,5
6,2023-11-03,True,16
7,2024-03-29,False,8
8,2024-01-12,False,2
9,2024-01-20,False,4
10,2024-01-19,True,7
11,2024-01-17,True,11
12,2023-04-27,False,18
13,2023-10-02,True,12
14,2023-11-30,True,13
15,2023-06-16,False,25
16,2023-05-17,True,19
17,2023-05-07,True,23
18,2023-06-06,True,5
19,2023-07-05,True,11
20,2023-08-20,False,6
21,2024-04-10,True,8
22,2023-09-26,False,3
23,2023-12-24,False,18
24,2024-01-23,False,19
25,2023-05-19,False,7
