num_mesa,id_camarero,fecha_registro,disponibilidad,max_comensales
1,6,2023-07-12,True,1
2,3,2023-09-19,True,4
3,6,2023-07-20,False,5
4,8,2023-09-14,True,5
5,17,2023-08-28,False,6
6,3,2023-07-30,True,6
7,21,2023-06-27,False,7
8,13,2023-07-24,False,9
9,1,2023-10-22,True,9
10,7,2023-12-19,False,1
11,6,2024-01-28,False,5
12,15,2024-03-12,True,6
13,25,2023-07-14,True,8
14,13,2023-12-23,False,7
15,15,2024-04-17,False,7
16,3,2023-10-08,False,7
17,24,2023-05-10,False,7
18,16,2023-10-02,True,7
19,14,2024-02-19,False,7
20,6,2023-10-26,True,7
21,24,2023-07-13,True,7
22,11,2023-08-19,False,7
23,18,2023-08-25,True,7
24,17,2023-10-15,False,7
25,1,2023-12-01,True,7
